"h","date","forecast"
1,2025-08-01,0.00127932122206998
2,2025-09-01,0.00159554507894101
3,2025-10-01,0.00178246403243017
4,2025-11-01,0.00227272162540485
5,2025-12-01,0.00266175504647793
6,2026-01-01,0.0020660037978795
7,2026-02-01,0.00075702802011861
8,2026-03-01,-0.000850246718965598
9,2026-04-01,0.00165608673106701
10,2026-05-01,0.00202347200974333
11,2026-06-01,0.00299116762066138
12,2026-07-01,0.00142968488629038
